book_title,book_price
"An Introduction to C & GUI Programming, 2nd Edition","An Introduction to C & GUI Programming, 2nd Edition"
Snowflake: The Definitive Guide,Snowflake: The Definitive Guide
"Python for Data Analysis, 3rd Edition","Python for Data Analysis, 3rd Edition"
Reliable Machine Learning,Reliable Machine Learning
"Data Visualization with Python and JavaScript, 2nd Edition","Data Visualization with Python and JavaScript, 2nd Edition"
Learning Microsoft Power BI,Learning Microsoft Power BI
C++ Software Design,C++ Software Design
"Terraform: Up and Running, 3rd Edition","Terraform: Up and Running, 3rd Edition"
Flutter and Dart Cookbook,Flutter and Dart Cookbook
"Python Data Science Handbook, 2nd Edition","Python Data Science Handbook, 2nd Edition"
"Raspberry Pi Cookbook, 4th Edition","Raspberry Pi Cookbook, 4th Edition"
Azure Maps Using Blazor Succinctly,Azure Maps Using Blazor Succinctly
Full Stack Quarkus and React,Full Stack Quarkus and React
Mathematics for Game Programming and Computer Graphics,Mathematics for Game Programming and Computer Graphics
Architecting and Building High-Speed SoCs,Architecting and Building High-Speed SoCs
Web Development with Julia and Genie,Web Development with Julia and Genie
Java Memory Management,Java Memory Management
Test-Driven Development with C++,Test-Driven Development with C++
Software Test Design,Software Test Design
Microservices with Go,Microservices with Go
